MD_EARN_WNE_P10,STUFACR,STUFACR,C150_4,ADM_RATE,MD_EARN_WNE_P10
39551.0,14.0,14.0,,,39551.0
,10.0,10.0,0.0,1.0,
50323.0,14.0,14.0,0.4689,0.8151,50323.0
58562.0,14.0,14.0,0.5347,0.7671,58562.0
64209.0,13.0,13.0,1.0,,64209.0
34866.0,20.0,20.0,,,34866.0
75001.0,10.0,10.0,0.8411,0.404,75001.0
42914.0,13.0,13.0,,,42914.0
73997.0,16.0,16.0,0.8318,0.5451,73997.0
43596.0,14.0,14.0,0.4754,,43596.0
38683.0,25.0,25.0,,,38683.0
56469.0,14.0,14.0,0.6006,0.7383,56469.0
88794.0,12.0,12.0,0.8419,0.5218,88794.0
30900.0,17.0,17.0,,,30900.0
41344.0,14.0,14.0,,,41344.0
102051.0,,,,,102051.0
28710.0,13.0,13.0,,,28710.0
,,,,,
60823.0,8.0,8.0,0.5694,0.8275,60823.0
,8.0,8.0,,,
43342.0,15.0,15.0,,,43342.0
43981.0,14.0,14.0,,,43981.0
42142.0,13.0,13.0,,,42142.0
42956.0,15.0,15.0,,,42956.0
39115.0,12.0,12.0,0.6218,0.7684,39115.0
37792.0,14.0,14.0,,,37792.0
38683.0,15.0,15.0,,,38683.0
44444.0,20.0,20.0,,,44444.0
60126.0,19.0,19.0,0.621,0.9124,60126.0
48814.0,20.0,20.0,,,48814.0
34978.0,14.0,14.0,,,34978.0
,9.0,9.0,0.5714,0.9545,
41588.0,15.0,15.0,,,41588.0
38696.0,16.0,16.0,0.3155,,38696.0
30231.0,11.0,11.0,,,30231.0
83759.0,11.0,11.0,0.7726,0.8379,83759.0
75059.0,16.0,16.0,0.7292,0.6571,75059.0
59908.0,8.0,8.0,0.608,0.7485,59908.0
40833.0,14.0,14.0,,,40833.0
55043.0,11.0,11.0,0.5322,0.8292,55043.0
90779.0,8.0,8.0,0.8357,0.3614,90779.0
43490.0,14.0,14.0,,,43490.0
,7.0,7.0,0.8653,0.2386,
73897.0,7.0,7.0,0.9315,0.1443,73897.0
59115.0,11.0,11.0,0.5121,0.8351,59115.0
100533.0,6.0,6.0,0.9781,0.0457,100533.0
72380.0,6.0,6.0,,,72380.0
30429.0,18.0,18.0,,,30429.0
41448.0,12.0,12.0,0.1969,,41448.0
49307.0,16.0,16.0,0.4548,0.5492,49307.0
72950.0,15.0,15.0,0.7961,0.7381,72950.0
59892.0,17.0,17.0,0.6709,0.6272,59892.0
27420.0,14.0,14.0,,,27420.0
53844.0,12.0,12.0,0.1957,,53844.0
77370.0,11.0,11.0,0.7943,0.4063,77370.0
73250.0,11.0,11.0,0.7635,0.8559,73250.0
44236.0,6.0,6.0,0.3515,,44236.0
,,,,,
43101.0,6.0,6.0,0.4367,0.5921,43101.0
90873.0,12.0,12.0,0.848,0.4898,90873.0
103494.0,11.0,11.0,0.9561,0.1223,103494.0
63066.0,14.0,14.0,0.7,0.5343,63066.0
40092.0,41.0,41.0,0.1818,,40092.0
,5.0,5.0,,1.0,
53804.0,12.0,12.0,0.3801,0.9697,53804.0
,,,,,
